,Artist,Song_Count,First_Year,Last_Year,Career_Span
518,dave matthews band,1,2001,2001,1
519,david archuleta,1,2008,2008,1
520,david banner,1,2005,2005,1
521,david banner featuring chris brown,1,2008,2008,1
522,david bowie,5,1973,1983,11
523,david cook,1,2008,2008,1
524,david essex,1,1974,1974,1
525,david gates,1,1978,1978,1
526,david guetta featuring akon,1,2010,2010,1
527,david guetta featuring flo rida and nicki minaj,1,2011,2011,1
528,david guetta featuring nicki minaj,1,2012,2012,1
529,david guetta featuring nicki minaj bebe rexha and afrojack,1,2015,2015,1
530,david guetta featuring sia,1,2012,2012,1
531,david guetta featuring usher,2,2011,2012,2
532,david houston,1,1966,1966,1
533,david lee roth,2,1985,1988,4
534,david naughton,1,1979,1979,1
535,david ruffin,2,1969,1976,8
536,david soul,1,1977,1977,1
537,dawn,1,1970,1970,1
538,dazz band,1,1982,1982,1
539,dean friedman,1,1977,1977,1
540,debarge,4,1983,1985,3
541,debbie gibson,5,1987,1989,3
542,debby boone,1,1978,1978,1
543,debelah morgan,2,2000,2001,2
544,deborah cox,3,1996,1999,4
545,deeelite,1,1991,1991,1
546,deep blue something,1,1996,1996,1
547,deep purple,1,1973,1973,1
548,def leppard,7,1983,1993,11
549,default,1,2002,2002,1
550,del amitri,1,1995,1995,1
551,del shannon,1,1965,1965,1
552,delaney  bonnie  friends,1,1971,1971,1
553,delbert mcclinton,1,1981,1981,1
554,dem franchize boyz,1,2006,2006,1
555,dem franchize boyz featuring jermaine dupri da brat and bow wow,1,2006,2006,1
556,demi lovato,3,2012,2015,4
557,deniece williams,2,1982,1984,3
558,denise lasalle,1,1971,1971,1
559,dennis coffey,1,1972,1972,1
560,deodato,1,1973,1973,1
561,deon estus,1,1989,1989,1
562,deon jackson,1,1966,1966,1
563,depeche mode,1,1990,1990,1
564,derek and the dominos,1,1972,1972,1
565,desree,1,1995,1995,1
566,destinys child,11,1998,2005,8
567,destinys child featuring ti and lil wayne,1,2005,2005,1
568,dev,1,2011,2011,1
569,devo,1,1981,1981,1
570,dexys midnight runners,1,1983,1983,1
571,dht featuring edmee,1,2005,2005,1
572,diamond rio,1,2001,2001,1
573,diana king,1,1995,1995,1
574,diana ross,11,1970,1985,16
575,diana ross  lionel richie,1,1981,1981,1
576,diana ross  marvin gaye,1,1974,1974,1
577,dickey lee,1,1965,1965,1
578,diddy  dirty money featuring skylar grey,1,2011,2011,1
579,diddy featuring keyshia cole,1,2007,2007,1
580,dido,2,2001,2004,4
581,dierks bentley,2,2003,2014,12
582,digable planets,1,1993,1993,1
583,digital underground,1,1990,1990,1
584,dino,3,1989,1993,5
585,dino desi  billy,1,1965,1965,1
586,dionne and friends dionne warwick gladys knight elton john and stevie wonder,1,1986,1986,1
587,dionne farris,1,1995,1995,1
588,dionne warwick,9,1966,1983,18
589,dionne warwick  the spinners,1,1974,1974,1
590,dire straits,3,1979,1986,8
591,dirty vegas,1,2002,2002,1
592,disclosure featuring sam smith,1,2014,2014,1
593,discotex and the sexolettes,1,1975,1975,1
594,dishwalla,1,1996,1996,1
595,divine,2,1998,1999,2
596,divinyls,1,1991,1991,1
597,dixie chicks,3,2000,2003,4
598,dj jazzy jeff  the fresh prince,2,1991,1993,3
599,dj khaled featuring drake rick ross and lil wayne,1,2011,2011,1
600,dj khaled featuring tpain ludacris snoop dogg and rick ross,1,2010,2010,1
601,dj kool,1,1997,1997,1
602,dj sammy featuring yanou and do,1,2002,2002,1
603,dj snake and alunageorge,1,2015,2015,1
604,dj snake and lil jon,1,2014,2014,1
605,dmx,1,2000,2000,1
606,dna featuring suzanne vega,1,1991,1991,1
607,do or die featuring twista,1,1996,1996,1
608,dobie gray,1,1973,1973,1
609,dolly parton,2,1978,1981,4
610,domino,1,1994,1994,1
611,don henley,4,1983,1989,7
612,don mclean,3,1972,1981,10
613,donell jones,2,2000,2000,1
614,donna fargo,2,1972,1973,2
615,donna lewis,2,1996,1997,2
616,donna summer,10,1976,1989,14
617,donna summer and brooklyn dreams,1,1979,1979,1
618,donny  marie osmond,2,1975,1976,2
619,donny and marie osmond,1,1974,1974,1
620,donny osmond,5,1971,1989,19
621,donovan,3,1966,1969,4
622,dorothy moore,1,1976,1976,1
623,dottie west  kenny rogers,1,1981,1981,1
624,dr buzzards original savannah band,1,1977,1977,1
625,dr dre,2,1993,1995,3
626,dr dre featuring eminem,1,2000,2000,1
627,dr dre featuring eminem and skylar grey,1,2011,2011,1
628,dr dre featuring snoop dogg,1,2000,2000,1
629,dr dre featuring snoop doggy dogg,1,1993,1993,1
630,dr hook,5,1976,1980,5
631,dr hook  the medicine show,3,1972,1979,8
632,dr john,1,1973,1973,1
633,drake,8,2009,2015,7
634,drake featuring kanye west lil wayne and eminem,2,2009,2010,2
635,drake featuring lil wayne,1,2012,2012,1
636,drake featuring majid jordan,2,2013,2014,2
637,drake featuring rihanna,1,2012,2012,1
638,dream,1,2001,2001,1
639,dream academy,1,1986,1986,1
640,drs,1,1994,1994,1
641,dru hill,4,1997,1999,3
642,dru hill featuring redman,1,1998,1998,1
643,duice,1,1993,1993,1
644,duncan sheik,1,1997,1997,1
645,duran duran,11,1983,1993,11
646,dusty springfield,1,1966,1966,1
647,dwight twilley band,1,1975,1975,1
648,e40 featuring tpain and kandi girl,1,2006,2006,1
649,eagleeye cherry,1,1999,1999,1
650,eagles,8,1975,1980,6
651,eamon,1,2004,2004,1
652,earth wind  fire,9,1975,1983,9
653,earth wind  fire  the emotions,1,1979,1979,1
654,echosmith,1,2014,2014,1
655,ed ames,1,1967,1967,1
656,ed sheeran,6,2013,2015,3
657,eddie holman,1,1970,1970,1
658,eddie kendricks,3,1973,1975,3
659,eddie money,4,1978,1989,12
660,eddie murphy,1,1986,1986,1
661,eddie rabbitt,4,1979,1981,3
662,eddie rabbitt and crystal gayle,1,1983,1983,1
663,eddy grant,1,1983,1983,1
664,edens crush,1,2001,2001,1
665,edgar winter group,2,1973,1973,1
666,edie brickell  new bohemians,1,1989,1989,1
667,edison lighthouse,1,1970,1970,1
668,edward bear,1,1973,1973,1
669,edward maya featuring vika jigulina,1,2011,2011,1
670,edwin hawkins singers,1,1969,1969,1
671,edwin mccain,1,1998,1998,1
672,edwin starr,2,1969,1970,2
673,eiffel 65,1,2000,2000,1
674,el debarge,1,1986,1986,1
675,electric light orchestra,9,1975,1981,7
676,eli young band,2,2011,2012,2
677,ella henderson,1,2015,2015,1
678,elle king,1,2015,2015,1
679,ellie goulding,3,2012,2015,4
680,elliott yamin,1,2007,2007,1
681,elton john,26,1972,1998,27
682,elton john  kiki dee,1,1976,1976,1
683,elvin bishop,1,1976,1976,1
684,elvis presley,6,1965,1977,13
685,emeli sande,1,2013,2013,1
686,emf,1,1991,1991,1
687,eminem,12,2000,2013,14
688,eminem dr dre and 50 cent,1,2009,2009,1
689,eminem featuring nate dogg,1,2006,2006,1
690,eminem featuring rihanna,2,2010,2014,5
691,en vogue,6,1990,1997,8
692,engelbert humperdinck,2,1967,1977,11
